Vendor,Product,Version,Release,Azure Feature,LifecyclePolicy,StartDate,EndOfSupport,DaysToEOS,LifecycleStatus
,Dynamics 365 Business Central on-premises (Modern Policy),,"2023 release wave 2, version 23.x",,Modern,02/10/2023,02/04/2025,-510,Out of Support
,Dynamics 365 Business Central on-premises (Modern Policy),,"2024 release wave 1, version 24.x",,Modern,02/04/2024,07/10/2025,-322,Out of Support
,Dynamics 365 Business Central on-premises (Modern Policy),,"2024 release wave 2, version 25.x",,Modern,01/10/2024,04/04/2026,-143,Out of Support
,Dynamics 365 Commerce,,Original Release,,Modern,01/07/2017,31/12/2099,26791,Out of Support
,Dynamics 365 Customer Insights - Data,,Original Release,,Modern,01/09/2023,31/12/2099,26791,Out of Support
,Dynamics 365 Customer Insights - Journeys,,Original Release,,Modern,01/09/2023,31/12/2099,26791,Out of Support
,Dynamics 365 Field Service,,Original Release,,Modern,02/05/2016,31/12/2099,26791,Out of Support
,Dynamics 365 Field Service (on-premises),,Original Release,,Modern,02/05/2016,30/06/2022,-1517,Out of Support
,"Dynamics 365 for Customer Engagement Apps, version 9.x (on-premises update)",,Original Release (ver 9.0),,Fixed,31/10/2018,11/07/2023,-1141,Out of Support
,Dynamics 365 for Finance and Operations,Enterprise,Original Release,,Modern,19/02/2016,31/12/2099,26791,Out of Support
,Dynamics 365 for Finance and Operations (on-premises),Enterprise,Original Release,,Modern,15/06/2017,31/12/2099,26791,Out of Support
,Dynamics 365 for Talent,Onboard,Original Release,,Modern,31/07/2017,02/02/2022,-1665,Out of Support
,Dynamics 365 Human Resources,,Original Release,,Modern,27/03/2020,31/12/2099,26791,Out of Support
,Dynamics 365 Intelligent Order Management,,Original Release,,Modern,01/08/2021,31/12/2099,26791,Out of Support
,Dynamics 365 Layout,,Original Release,,Modern,30/09/2018,31/12/2021,-1698,Out of Support
,Dynamics 365 Product Insights,,Original Release,,Modern,01/10/2019,31/12/2099,26791,Out of Support
,Dynamics 365 Project Operations,,Original Release,,Modern,01/10/2020,31/12/2099,26791,Out of Support
,Dynamics 365 Remote Assist,,Original Release,,Modern,30/09/2018,31/12/2099,26791,Out of Support
,Dynamics 365 Telecommunications Accelerator,,Original Release,,Modern,01/05/2021,31/12/2099,26791,Out of Support
,Dynamics 9.0 GreatPlains,,Original Release,,Fixed,19/12/2005,11/01/2011,-5705,Out of Support
,Dynamics 9.0 GreatPlains,,Service Pack 1,,Fixed,26/05/2006,08/01/2008,-6804,Out of Support
,Dynamics 9.0 GreatPlains,,Service Pack 2,,Fixed,01/12/2006,13/10/2009,-6160,Out of Support
,Dynamics 9.0 GreatPlains,,Service Pack 3,,Fixed,03/10/2007,12/10/2010,-5796,Out of Support
,Dynamics 9.0 GreatPlains,,Service Pack 4,,Fixed,09/10/2008,11/01/2011,-5705,Out of Support
,Dynamics AX 2009,,Original Release,,Fixed,14/08/2008,11/01/2011,-5705,Out of Support
