Vendor,Product,Version,Release,Azure Feature,LifecyclePolicy,StartDate,EndOfSupport,DaysToEOS,LifecycleStatus
,"Windows 10 Mobile Enterprise, released in April 2017",,Original Release,,Fixed,25/04/2017,11/06/2019,-2632,Out of Support
,"Windows 10 Mobile Enterprise, released in August 2016",,Original Release,,Fixed,16/08/2016,09/10/2018,-2877,Out of Support
,"Windows 10 Mobile Enterprise, released in November 2015",,Original Release,,Fixed,16/11/2015,09/01/2018,-3150,Out of Support
,"Windows 10 Mobile Enterprise, released in October 2017",,Original Release,,Fixed,17/10/2017,14/01/2020,-2415,Out of Support
,"Windows 10 Mobile, released in April 2017",,Original Release,,Fixed,25/04/2017,11/06/2019,-2632,Out of Support
,"Windows 10 Mobile, released in August 2016",,Original Release,,Fixed,16/08/2016,09/10/2018,-2877,Out of Support
,"Windows 10 Mobile, released in November 2015",,Original Release,,Fixed,16/11/2015,09/01/2018,-3150,Out of Support
,"Windows 10 Mobile, released in October 2017",,Original Release,,Fixed,17/10/2017,31/12/2099,26791,Out of Support
,Windows 10 Team (Surface Hub),,Original Release,,Fixed,25/03/2016,14/10/2025,-315,Out of Support
,Windows 11 Enterprise and Education,Education,Version 21H2,,Modern,04/10/2021,08/10/2024,-686,Out of Support
,Windows 11 Enterprise and Education,Education,Version 22H2,,Modern,20/09/2022,14/10/2025,-315,Out of Support
,Windows 11 Enterprise and Education,Enterprise,Version 21H2,,Modern,04/10/2021,08/10/2024,-686,Out of Support
,Windows 11 Enterprise and Education,Enterprise,Version 22H2,,Modern,20/09/2022,14/10/2025,-315,Out of Support
,Windows 11 Enterprise and Education,Enterprise multi-session,Version 21H2,,Modern,04/10/2021,08/10/2024,-686,Out of Support
,Windows 11 Enterprise and Education,Enterprise multi-session,Version 22H2,,Modern,20/09/2022,14/10/2025,-315,Out of Support
,Windows 11 Home and Pro,Home,Version 21H2,,Modern,04/10/2021,10/10/2023,-1050,Out of Support
,Windows 11 Home and Pro,Home,Version 22H2,,Modern,20/09/2022,08/10/2024,-686,Out of Support
,Windows 11 Home and Pro,Home,Version 23H2,,Modern,31/10/2023,11/11/2025,-287,Out of Support
,Windows 11 Home and Pro,Pro,Version 21H2,,Modern,04/10/2021,10/10/2023,-1050,Out of Support
,Windows 11 Home and Pro,Pro,Version 22H2,,Modern,20/09/2022,08/10/2024,-686,Out of Support
,Windows 11 Home and Pro,Pro,Version 23H2,,Modern,31/10/2023,11/11/2025,-287,Out of Support
,Windows 11 Home and Pro,Pro Education,Version 21H2,,Modern,04/10/2021,10/10/2023,-1050,Out of Support
,Windows 11 Home and Pro,Pro Education,Version 22H2,,Modern,20/09/2022,08/10/2024,-686,Out of Support
,Windows 11 Home and Pro,Pro Education,Version 23H2,,Modern,31/10/2023,11/11/2025,-287,Out of Support
,Windows 11 Home and Pro,Pro for Workstations,Version 21H2,,Modern,04/10/2021,10/10/2023,-1050,Out of Support
,Windows 11 Home and Pro,Pro for Workstations,Version 22H2,,Modern,20/09/2022,08/10/2024,-686,Out of Support
,Windows 11 Home and Pro,Pro for Workstations,Version 23H2,,Modern,31/10/2023,11/11/2025,-287,Out of Support
,Windows 11 Home and Pro,SE,Version 21H2,,Modern,04/10/2021,10/10/2023,-1050,Out of Support
,Windows 11 Home and Pro,SE,Version 22H2,,Modern,20/09/2022,08/10/2024,-686,Out of Support
,Windows 11 Home and Pro,SE,Version 23H2,,Modern,31/10/2023,11/11/2025,-287,Out of Support
,Windows 11 IoT Enterprise,,Version 21H2,,Modern,04/10/2021,08/10/2024,-686,Out of Support
,Windows 11 IoT Enterprise,,Version 22H2,,Modern,20/09/2022,14/10/2025,-315,Out of Support
,Windows 365,Business,Original Release,,Modern,02/08/2021,31/12/2099,26791,Out of Support
,Windows 365,Enterprise,Original Release,,Modern,02/08/2021,31/12/2099,26791,Out of Support
,Windows 7,Enterprise,Extended Security Update Year 1*,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows 7,Enterprise,Extended Security Update Year 2*,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows 7,Enterprise,Extended Security Update Year 3*,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows 7,Enterprise,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows 7,Enterprise,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows 7,Enterprise N,Extended Security Update Year 1*,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows 7,Enterprise N,Extended Security Update Year 2*,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows 7,Enterprise N,Extended Security Update Year 3*,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows 7,Enterprise N,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows 7,Enterprise N,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows 7,Home Basic,Extended Security Update Year 1*,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows 7,Home Basic,Extended Security Update Year 2*,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows 7,Home Basic,Extended Security Update Year 3*,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows 7,Home Basic,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows 7,Home Basic,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows 7,Home Premium,Extended Security Update Year 1*,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows 7,Home Premium,Extended Security Update Year 2*,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows 7,Home Premium,Extended Security Update Year 3*,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows 7,Home Premium,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows 7,Home Premium,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows 7,Home Premium N,Extended Security Update Year 1*,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows 7,Home Premium N,Extended Security Update Year 2*,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows 7,Home Premium N,Extended Security Update Year 3*,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows 7,Home Premium N,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows 7,Home Premium N,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows 7,Professional,Extended Security Update Year 1*,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows 7,Professional,Extended Security Update Year 2*,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows 7,Professional,Extended Security Update Year 3*,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows 7,Professional,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows 7,Professional,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows 7,Professional for Embedded Systems,Extended Security Update Year 1*,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows 7,Professional for Embedded Systems,Extended Security Update Year 2*,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows 7,Professional for Embedded Systems,Extended Security Update Year 3*,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows 7,Professional for Embedded Systems,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows 7,Professional for Embedded Systems,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows 7,Professional N,Extended Security Update Year 1*,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows 7,Professional N,Extended Security Update Year 2*,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows 7,Professional N,Extended Security Update Year 3*,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows 7,Professional N,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows 7,Professional N,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows 7,Starter,Extended Security Update Year 1*,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows 7,Starter,Extended Security Update Year 2*,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows 7,Starter,Extended Security Update Year 3*,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows 7,Starter,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows 7,Starter,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows 7,Starter N,Extended Security Update Year 1*,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows 7,Starter N,Extended Security Update Year 2*,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows 7,Starter N,Extended Security Update Year 3*,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows 7,Starter N,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows 7,Starter N,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows 7,Ultimate,Extended Security Update Year 1*,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows 7,Ultimate,Extended Security Update Year 2*,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows 7,Ultimate,Extended Security Update Year 3*,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows 7,Ultimate,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows 7,Ultimate,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows 7,Ultimate for Embedded Systems,Extended Security Update Year 1*,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows 7,Ultimate for Embedded Systems,Extended Security Update Year 2*,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows 7,Ultimate for Embedded Systems,Extended Security Update Year 3*,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows 7,Ultimate for Embedded Systems,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows 7,Ultimate for Embedded Systems,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows 7,Ultimate N,Extended Security Update Year 1*,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows 7,Ultimate N,Extended Security Update Year 2*,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows 7,Ultimate N,Extended Security Update Year 3*,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows 7,Ultimate N,Original Release,,Fixed,22/10/2009,09/04/2013,-4886,Out of Support
,Windows 7,Ultimate N,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows 8,Enterprise,Original Release,,Fixed,30/10/2012,12/01/2016,-3878,Out of Support
,Windows 8,Enterprise N,Original Release,,Fixed,30/10/2012,12/01/2016,-3878,Out of Support
,Windows 8,N,Original Release,,Fixed,30/10/2012,12/01/2016,-3878,Out of Support
,Windows 8,Pro with Media Center,Original Release,,Fixed,30/10/2012,12/01/2016,-3878,Out of Support
,Windows 8,Professional,Original Release,,Fixed,30/10/2012,12/01/2016,-3878,Out of Support
,Windows 8,Professional N,Original Release,,Fixed,30/10/2012,12/01/2016,-3878,Out of Support
,Windows 8,SL,Original Release,,Fixed,30/10/2012,12/01/2016,-3878,Out of Support
,Windows 8.1,Enterprise,Original Release,,Fixed,13/11/2013,10/01/2023,-1323,Out of Support
,Windows 8.1,Enterprise N,Original Release,,Fixed,13/11/2013,10/01/2023,-1323,Out of Support
,Windows 8.1,N,Original Release,,Fixed,13/11/2013,10/01/2023,-1323,Out of Support
,Windows 8.1,Pro with Media Center,Original Release,,Fixed,13/11/2013,10/01/2023,-1323,Out of Support
,Windows 8.1,Professional,Original Release,,Fixed,13/11/2013,10/01/2023,-1323,Out of Support
,Windows 8.1,Professional N,Original Release,,Fixed,13/11/2013,10/01/2023,-1323,Out of Support
,Windows 8.1,SL,Original Release,,Fixed,13/11/2013,10/01/2023,-1323,Out of Support
,Windows Analytics,,Original Release,,Modern,02/03/2017,31/01/2020,-2398,Out of Support
,Windows Automated Installation Kit for Windows 7,,Original Release,,Fixed,22/10/2009,13/01/2015,-4242,Out of Support
,Windows Automotive 4.2,,Original Release,,Fixed,01/06/2003,09/07/2013,-4795,Out of Support
,Windows Automotive 5.0,,Original Release,,Fixed,31/12/2005,12/01/2016,-3878,Out of Support
,Windows Azure Pack (on Windows Server 2012 R2),on Windows Server 2012 R2,on Windows Server 2012 R2,,Fixed,14/01/2014,12/07/2022,-1505,Out of Support
,Windows Azure Pack (on Windows Server 2012 R2),on Windows Server 2012 R2,V2 Web Sites,,Fixed,14/01/2014,12/07/2022,-1505,Out of Support
,Windows CE .NET 4.2,,Original Release,,Fixed,01/06/2003,09/07/2013,-4795,Out of Support
,Windows CE 5.0,,Original Release,,Fixed,31/08/2004,14/10/2014,-4333,Out of Support
,Windows Communication Foundation RIA Services,,Original Release,,Fixed,12/08/2010,08/09/2020,-2177,Out of Support
,Windows Defender Exploit Guard,,Original Release,,Component,17/10/2017,14/10/2025,-315,Out of Support
,Windows Defender for Windows 10,,Original Release,,Component,29/07/2015,14/10/2025,-315,Out of Support
,Windows Defender For Windows 8 and 8.1,,For Windows 8,,Component,30/10/2012,12/01/2016,-3878,Out of Support
,Windows Defender For Windows 8 and 8.1,,For Windows 8.1,,Component,13/11/2013,10/01/2023,-1323,Out of Support
,Windows Embedded 2009,Standard,Original Release,,Fixed,14/12/2008,08/01/2019,-2786,Out of Support
,Windows Embedded 8,Pro,Original Release,,Fixed,30/10/2012,12/01/2016,-3878,Out of Support
,Windows Embedded 8 Industry,Enterprise,Original Release,,Fixed,24/06/2013,12/01/2016,-3878,Out of Support
,Windows Embedded 8 Industry,Pro,Original Release,,Fixed,24/06/2013,12/01/2016,-3878,Out of Support
,Windows Embedded 8 Standard,,Original Release,,Fixed,01/05/2013,11/07/2023,-1141,Out of Support
,Windows Embedded 8.1 Handheld,,Original Release,,Fixed,24/06/2014,09/07/2019,-2604,Out of Support
,Windows Embedded 8.1 Industry,Enterprise,Original Release,,Fixed,25/11/2013,11/07/2023,-1141,Out of Support
,Windows Embedded 8.1 Industry,Pro,Original Release,,Fixed,25/11/2013,11/07/2023,-1141,Out of Support
,Windows Embedded 8.1 Industry,Sideloading,Original Release,,Fixed,25/11/2013,11/07/2023,-1141,Out of Support
,Windows Embedded 8.1 Pro,,Original Release,,Fixed,13/11/2013,10/01/2023,-1323,Out of Support
,Windows Embedded CE 6.0,,Original Release,,Fixed,30/11/2006,10/04/2018,-3059,Out of Support
,Windows Embedded Compact 2013,,Original Release,,Fixed,11/08/2013,10/10/2023,-1050,Out of Support
,Windows Embedded Compact 7,,Original Release,,Fixed,15/03/2011,13/04/2021,-1960,Out of Support
,Windows Embedded Device Manager 2011,Client,Original Release,,Fixed,29/05/2011,08/01/2013,-4977,Out of Support
,Windows Embedded Device Manager 2011,Client,Service Pack 1,,Fixed,07/12/2011,09/01/2018,-3150,Out of Support
,Windows Embedded Device Manager 2011,SDK,Original Release,,Fixed,29/05/2011,08/01/2013,-4977,Out of Support
,Windows Embedded Device Manager 2011,SDK,Service Pack 1,,Fixed,07/12/2011,09/01/2018,-3150,Out of Support
,Windows Embedded Device Manager 2011,Server,Original Release,,Fixed,29/05/2011,08/01/2013,-4977,Out of Support
,Windows Embedded Device Manager 2011,Server,Service Pack 1,,Fixed,07/12/2011,09/01/2018,-3150,Out of Support
,Windows Embedded for Point of Service,,Original Release,,Fixed,06/06/2005,12/10/2010,-5796,Out of Support
,Windows Embedded for Point of Service,,Service Pack 3,,Fixed,07/10/2008,12/04/2016,-3787,Out of Support
,Windows Embedded Handheld 6.5,,Original Release,,Fixed,17/12/2010,14/01/2020,-2415,Out of Support
,Windows Embedded POSReady 2009,,Original Release,,Fixed,10/03/2009,09/04/2019,-2695,Out of Support
,Windows Embedded POSReady 7,,Extended Security Update Year 1*,,Fixed,13/10/2021,11/10/2022,-1414,Out of Support
,Windows Embedded POSReady 7,,Extended Security Update Year 2*,,Fixed,12/10/2022,10/10/2023,-1050,Out of Support
,Windows Embedded POSReady 7,,Extended Security Update Year 3*,,Fixed,11/10/2023,08/10/2024,-686,Out of Support
,Windows Embedded POSReady 7,,Original Release,,Fixed,10/09/2011,12/10/2021,-1778,Out of Support
,Windows Embedded Standard 7,Standard,Extended Security Update Year 1*,,Fixed,14/10/2020,12/10/2021,-1778,Out of Support
,Windows Embedded Standard 7,Standard,Extended Security Update Year 2*,,Fixed,13/10/2021,11/10/2022,-1414,Out of Support
,Windows Embedded Standard 7,Standard,Extended Security Update Year 3*,,Fixed,12/10/2022,10/10/2023,-1050,Out of Support
,Windows Embedded Standard 7,Standard,Original Release,,Fixed,29/07/2010,09/04/2013,-4886,Out of Support
,Windows Embedded Standard 7,Standard,Service Pack 1,,Fixed,28/02/2011,13/10/2020,-2142,Out of Support
,Windows Essential Business Server 2008,,Original Release,,Fixed,12/12/2008,13/02/2020,-2385,Out of Support
,Windows Fundamentals for Legacy PCs,,Original Release,,Fixed,31/05/2006,12/10/2010,-5796,Out of Support
,Windows Fundamentals for Legacy PCs,,Service Pack 3,,Fixed,07/10/2008,08/04/2014,-4522,Out of Support
,Windows Home Server,,Original Release,,Fixed,11/10/2007,08/01/2013,-4977,Out of Support
,Windows Home Server 2011,,Original Release,,Fixed,28/06/2011,12/04/2016,-3787,Out of Support
,Windows HPC Server 2008,Standard,Original Release,,Fixed,30/12/2008,12/07/2011,-5523,Out of Support
,Windows HPC Server 2008,Standard,Service Pack 2,,Fixed,29/04/2009,14/01/2020,-2415,Out of Support
,Windows HPC Server 2008,without Hyper-V,Original Release,,Fixed,30/12/2008,12/07/2011,-5523,Out of Support
,Windows HPC Server 2008,without Hyper-V,Service Pack 2,,Fixed,29/04/2009,14/01/2020,-2415,Out of Support
,Windows HPC Server 2008 R2,,Original Release,,Fixed,17/10/2010,09/04/2013,-4886,Out of Support
,Windows HPC Server 2008 R2,,Service Pack 1,,Fixed,22/02/2011,14/01/2020,-2415,Out of Support
,Windows Identity Foundation,,Original Release,,Fixed,14/02/2010,14/04/2020,-2324,Out of Support
,Windows Live OneCare,,Original Release,,Modern,04/09/2007,12/04/2011,-5614,Out of Support
,Windows Media Encoder 9 Series,64 Bit,Original Release,,Fixed,15/11/2002,13/01/2015,-4242,Out of Support
,Windows Media Encoder 9 Series,Standard,Original Release,,Fixed,15/11/2002,13/01/2015,-4242,Out of Support
,Windows Mobile 2003,for Pocket PC,Original Release,,Fixed,31/05/2004,08/07/2014,-4431,Out of Support
,Windows Mobile 2003,for Smartphones,Original Release,,Fixed,31/05/2004,08/07/2014,-4431,Out of Support
,Windows Mobile 2003,Second Edition software for Pocket PC Phone,Original Release,,Fixed,31/05/2004,08/07/2014,-4431,Out of Support
,Windows Mobile 2003,Second Edition software for Smartphone,Original Release,,Fixed,31/05/2004,08/07/2014,-4431,Out of Support
,Windows Mobile 5.0,for Pocket PC,Original Release,,Fixed,31/07/2005,13/10/2015,-3969,Out of Support
,Windows Mobile 5.0,for Smartphones,Original Release,,Fixed,31/07/2005,13/10/2015,-3969,Out of Support
,Windows Mobile 6,Classic,Original Release,,Fixed,12/05/2007,08/01/2013,-4977,Out of Support
,Windows Mobile 6,Professional,Original Release,,Fixed,12/05/2007,08/01/2013,-4977,Out of Support
,Windows Mobile 6,Standard,Original Release,,Fixed,12/05/2007,08/01/2013,-4977,Out of Support
,Windows Mobile 6.1,Adaptation Kit,Original Release,,Fixed,01/07/2008,08/01/2013,-4977,Out of Support
,Windows Mobile 6.1,Professional,Original Release,,Fixed,01/07/2008,08/01/2013,-4977,Out of Support
,Windows Mobile 6.1,Standard,Original Release,,Fixed,01/07/2008,08/01/2013,-4977,Out of Support
,Windows Mobile 6.5,Professional,Original Release,,Fixed,10/09/2009,08/01/2013,-4977,Out of Support
,Windows Mobile 6.5,Standard,Original Release,,Fixed,10/09/2009,08/01/2013,-4977,Out of Support
,Windows MovieMaker 2.0,,Original Release,,Fixed,20/02/2003,09/01/2007,-7168,Out of Support
,Windows MultiPoint Server 2010,Academic,Original Release,,Fixed,13/05/2010,14/07/2020,-2233,Out of Support
,Windows MultiPoint Server 2010,Standard,Original Release,,Fixed,13/05/2010,14/07/2020,-2233,Out of Support
,Windows MultiPoint Server 2011,Premium,Original Release,,Fixed,12/05/2011,13/07/2021,-1869,Out of Support
,Windows MultiPoint Server 2011,Standard,Original Release,,Fixed,12/05/2011,13/07/2021,-1869,Out of Support
,Windows MultiPoint Server 2012,Premium,Original Release,,Fixed,30/10/2012,10/10/2023,-1050,Out of Support
,Windows MultiPoint Server 2012,Standard,Original Release,,Fixed,30/10/2012,10/10/2023,-1050,Out of Support
,Windows Phone 7.8,,Original Release,,Fixed,09/02/2013,14/10/2014,-4333,Out of Support
,Windows Phone 8,,Original Release,,Fixed,14/12/2012,31/12/2099,26791,Out of Support
,Windows Phone 8.1,,Original Release,,Fixed,24/06/2014,11/07/2017,-3332,Out of Support
,Windows RT,8.1,Windows RT,,Fixed,30/10/2012,12/01/2016,-3878,Out of Support
,Windows RT,8.1,Windows RT 8.1,,Fixed,13/11/2013,10/01/2023,-1323,Out of Support
,Windows Server 2003,Datacenter (32-bit x86),Original Release,,Fixed,28/05/2003,10/04/2007,-7077,Out of Support
,Windows Server 2003,Datacenter (32-bit x86),Service Pack 1,,Fixed,30/03/2005,14/04/2009,-6342,Out of Support
,Windows Server 2003,Datacenter (32-bit x86),Service Pack 2,,Fixed,13/03/2007,14/07/2015,-4060,Out of Support
,Windows Server 2003,Datacenter (x64),Original Release,,Fixed,28/05/2003,10/04/2007,-7077,Out of Support
,Windows Server 2003,Datacenter (x64),Service Pack 1,,Fixed,30/03/2005,14/04/2009,-6342,Out of Support
,Windows Server 2003,Datacenter (x64),Service Pack 2,,Fixed,13/03/2007,14/07/2015,-4060,Out of Support
,Windows Server 2003,Datacenter for Itanium-Based Systems,Original Release,,Fixed,28/05/2003,10/04/2007,-7077,Out of Support
,Windows Server 2003,Datacenter for Itanium-Based Systems,Service Pack 1,,Fixed,30/03/2005,14/04/2009,-6342,Out of Support
,Windows Server 2003,Datacenter for Itanium-Based Systems,Service Pack 2,,Fixed,13/03/2007,14/07/2015,-4060,Out of Support
,Windows Server 2003,Enterprise (32-Bit x86),Original Release,,Fixed,28/05/2003,10/04/2007,-7077,Out of Support
,Windows Server 2003,Enterprise (32-Bit x86),Service Pack 1,,Fixed,30/03/2005,14/04/2009,-6342,Out of Support
,Windows Server 2003,Enterprise (32-Bit x86),Service Pack 2,,Fixed,13/03/2007,14/07/2015,-4060,Out of Support
,Windows Server 2003,Enterprise for Itanium-based Systems,Original Release,,Fixed,28/05/2003,10/04/2007,-7077,Out of Support
,Windows Server 2003,Enterprise for Itanium-based Systems,Service Pack 1,,Fixed,30/03/2005,14/04/2009,-6342,Out of Support
,Windows Server 2003,Enterprise for Itanium-based Systems,Service Pack 2,,Fixed,13/03/2007,14/07/2015,-4060,Out of Support
,Windows Server 2003,Enterprise X64,Original Release,,Fixed,28/05/2003,10/04/2007,-7077,Out of Support
,Windows Server 2003,Enterprise X64,Service Pack 1,,Fixed,30/03/2005,14/04/2009,-6342,Out of Support
,Windows Server 2003,Enterprise X64,Service Pack 2,,Fixed,13/03/2007,14/07/2015,-4060,Out of Support
,Windows Server 2003,Standard (32-bit x86),Original Release,,Fixed,28/05/2003,10/04/2007,-7077,Out of Support
,Windows Server 2003,Standard (32-bit x86),Service Pack 1,,Fixed,30/03/2005,14/04/2009,-6342,Out of Support
,Windows Server 2003,Standard (32-bit x86),Service Pack 2,,Fixed,13/03/2007,14/07/2015,-4060,Out of Support
,Windows Server 2003,Web,Original Release,,Fixed,28/05/2003,10/04/2007,-7077,Out of Support
,Windows Server 2003,Web,Service Pack 1,,Fixed,30/03/2005,14/04/2009,-6342,Out of Support
,Windows Server 2003,Web,Service Pack 2,,Fixed,13/03/2007,14/07/2015,-4060,Out of Support
,Windows Server 2003 R2,Datacenter,Original Release,,Fixed,05/03/2006,14/04/2009,-6342,Out of Support
,Windows Server 2003 R2,Datacenter,Service Pack 2,,Fixed,13/03/2007,14/07/2015,-4060,Out of Support
,Windows Server 2003 R2,Datacenter (32-bit x86),Original Release,,Fixed,05/03/2006,14/04/2009,-6342,Out of Support
,Windows Server 2003 R2,Datacenter (32-bit x86),Service Pack 2,,Fixed,13/03/2007,14/07/2015,-4060,Out of Support
,Windows Server 2003 R2,Datacenter (x64),Original Release,,Fixed,05/03/2006,14/04/2009,-6342,Out of Support
,Windows Server 2003 R2,Datacenter (x64),Service Pack 2,,Fixed,13/03/2007,14/07/2015,-4060,Out of Support
,Windows Server 2003 R2,Enterprise (32-Bit x86),Original Release,,Fixed,05/03/2006,14/04/2009,-6342,Out of Support
,Windows Server 2003 R2,Enterprise (32-Bit x86),Service Pack 2,,Fixed,13/03/2007,14/07/2015,-4060,Out of Support
,Windows Server 2003 R2,Enterprise X64,Original Release,,Fixed,05/03/2006,14/04/2009,-6342,Out of Support
,Windows Server 2003 R2,Enterprise X64,Service Pack 2,,Fixed,13/03/2007,14/07/2015,-4060,Out of Support
,Windows Server 2003 R2,Standard (32-bit x86),Original Release,,Fixed,05/03/2006,14/04/2009,-6342,Out of Support
,Windows Server 2003 R2,Standard (32-bit x86),Service Pack 2,,Fixed,13/03/2007,14/07/2015,-4060,Out of Support
,Windows Server 2003 R2,Standard X64,Original Release,,Fixed,05/03/2006,14/04/2009,-6342,Out of Support
,Windows Server 2003 R2,Standard X64,Service Pack 2,,Fixed,13/03/2007,14/07/2015,-4060,Out of Support
,Windows Server 2008,Datacenter,Extended Security Update Year 1,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows Server 2008,Datacenter,Extended Security Update Year 2,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows Server 2008,Datacenter,Extended Security Update Year 3,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows Server 2008,Datacenter,Extended Security Update Year 4 (Azure only),,Fixed,11/01/2023,09/01/2024,-959,Out of Support
,Windows Server 2008,Datacenter,Original Release,,Fixed,06/05/2008,12/07/2011,-5523,Out of Support
,Windows Server 2008,Datacenter,Service Pack 2,,Fixed,29/04/2009,14/01/2020,-2415,Out of Support
,Windows Server 2008,Datacenter without Hyper-V,Extended Security Update Year 1,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows Server 2008,Datacenter without Hyper-V,Extended Security Update Year 2,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows Server 2008,Datacenter without Hyper-V,Extended Security Update Year 3,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows Server 2008,Datacenter without Hyper-V,Extended Security Update Year 4 (Azure only),,Fixed,11/01/2023,09/01/2024,-959,Out of Support
,Windows Server 2008,Datacenter without Hyper-V,Original Release,,Fixed,06/05/2008,12/07/2011,-5523,Out of Support
,Windows Server 2008,Datacenter without Hyper-V,Service Pack 2,,Fixed,29/04/2009,14/01/2020,-2415,Out of Support
,Windows Server 2008,Enterprise,Extended Security Update Year 1,,Fixed,15/01/2020,12/01/2021,-2051,Out of Support
,Windows Server 2008,Enterprise,Extended Security Update Year 2,,Fixed,13/01/2021,11/01/2022,-1687,Out of Support
,Windows Server 2008,Enterprise,Extended Security Update Year 3,,Fixed,12/01/2022,10/01/2023,-1323,Out of Support
,Windows Server 2008,Enterprise,Extended Security Update Year 4 (Azure only),,Fixed,11/01/2023,09/01/2024,-959,Out of Support
